GCC_QoE,ARS-QoE,concerto_QoE,QoE
-8.390830901,-7.848737958,-8.295453262,-7.938930223
-7.97901349,-7.353624546,-7.934739243,-7.433129288
-7.587145469,-7.111088036,-6.821849361,-3.087636344
-5.486335852,-5.437609215,-6.553923669,-2.851412297
-5.393159543,-5.153298899,-5.31361807,-2.735476277
-4.52292813,-4.720518419,-4.520481929,-1.761429378
-4.137927593,-3.776238245,-4.293153238,-1.646181115
-3.425843087,-3.704799117,-4.280237075,-1.459544812
-3.419828525,-3.607021584,-3.458106713,-1.451945574
-2.80771695,-3.29917927,-3.085022929,-1.342253795
-2.652265977,-2.553734459,-2.833719954,-1.33770242
-2.401020882,-2.525256758,-2.748352645,-1.275347432
-2.216905488,-2.453112257,-2.659721383,-1.27403016
-2.15548355,-2.443488909,-2.60670972,-1.206577257
-2.147756983,-2.244177858,-2.273798081,-1.159577081
-2.135004977,-2.21652808,-2.218828147,-1.000026039
-2.108028426,-1.999940002,-2.131657347,-0.930928364
-1.999871173,-1.960407378,-1.983127351,-0.821610452
-1.982702877,-1.903425758,-1.838728783,-0.80742448
-1.93594882,-1.872340333,-1.832208652,-0.767280237
-1.851507984,-1.814959444,-1.800432926,-0.634379403
-1.716536029,-1.814052962,-1.775660312,-0.583016957
-1.703542975,-1.775687964,-1.736476522,-0.578455265
-1.695447263,-1.699961231,-1.722059559,-0.574324729
-1.665134748,-1.584781327,-1.588527786,-0.440985926
-1.620705958,-1.554266974,-1.570663627,-0.353782905
-1.473619459,-1.490164917,-1.552705799,-0.349969748
-1.467546219,-1.478272874,-1.519399469,-0.290712775
-1.393371007,-1.384447546,-1.511112141,-0.098109948
-1.361987985,-1.355821366,-1.405458108,-0.097484945
-1.359467986,-1.04878824,-1.313129493,-0.084746168
-1.119538826,-1.015903488,-1.178748293,-0.079556513
-1.098514614,-0.900062965,-1.163414884,-0.071211103
-1.076920223,-0.875636851,-1.020469068,-0.067140956
-0.960656539,-0.815110006,-0.95105848,-0.034528632
-0.904030309,-0.760060057,-0.921951385,-0.009964424
-0.869932756,-0.663382828,-0.909015622,-0.007363242
-0.861981863,-0.597374132,-0.841793744,0.00756039
-0.85253757,-0.570517092,-0.817884097,0.015110861
-0.822191058,-0.482375949,-0.799871546,0.015733487
-0.759317663,-0.477912252,-0.723921621,0.021660744
