GCC_bitrate,ARS_bitrate,Concerto_bitrate,bitrate
330.4585184,330.7437395,300.3478261,301.5
334.465057,334.7447588,302.3037531,301.5
340.5191762,341.4948084,303.466307,303
344.244111,344.9009921,304.5008374,304.5
346.6231788,344.9442772,304.5608875,305
347.7041054,348.5981732,304.6152288,309
351.2119427,351.5845758,304.6575131,317.2827915
367.8943858,367.0739638,304.6831027,330.6068625
370.8781644,371.4792843,304.771899,334.3716039
373.0078842,371.8701982,304.8042607,347.63543
374.0150106,373.9726049,310.777778,351.9662386
374.8177374,381.7096418,313.3075989,360
379.7695557,382.44194,314.4738684,362.8946753
389.4441492,389.5334713,320.2993997,365.4496819
398.0046881,396.2896674,330.2087219,370
398.3783106,398.8452704,332.7916655,384.6664938
403.0194895,403.7545477,342.6000219,386.8768772
406.4545753,405.2036976,343.8638579,421.6423621
407.2166771,406.8976913,348.8333095,425
407.2828036,407.0907148,352.2985615,429.300669
409.9856872,410.5985632,354.545224,437.0734823
410.0788862,412.1682176,371.3449327,451.9991086
411.9487206,415.2070801,377.0705443,489.7818884
419.7714632,415.7947313,381.93327,494.1036067
427.3127472,427.3748672,382.8976664,497.5703073
427.8760848,429.1865446,388.8049587,504.0460773
434.1380328,437.1631141,391.6116192,514.0231526
442.8284554,441.9215874,392.9248026,518.6547347
442.915178,442.6373535,396.1960215,543.9773819
448.0457067,447.2789116,396.227241,544.4771788
459.5669676,448.9439961,397.4113475,549.8231528
462.8557748,461.5318099,403.1428778,550.1819975
477.0832584,463.5977393,411.3973439,557.4819394
477.7866765,475.7641713,411.9587301,564.5925333
480.33142,477.3134444,418.6617833,568.5940835
482.7060895,478.327231,422.4472612,575.3782366
482.9181034,482.9211248,427.0708126,583.113009
484.7599459,485.4034826,430.1066328,583.8098362
497.7691627,486.1269768,441.2832397,584.6023594
505.2795324,501.8130805,442.8958659,586.7773653
510.6157416,503.911442,451.091588,594.8878148
515.1034332,513.7015979,452.4287582,595.9683416
525.9059058,515.8519882,454.8198672,597.615179
526.9109555,524.2339745,463.8317358,605.8024028
534.7547239,531.5989958,464.0678539,609.5590507
